Periodo,Grupo,Producto,Super,Precio,Producto_basico
Abr25,Alimentos Y Bebidas,Aceite de girasol Marca Propia Envase 900 cc,Devoto,80.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Marca Propia Envase 900 cc,Devoto Express,99.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Marca Propia Envase 900 cc,Disco,99.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Marca Propia Envase 900 cc,Ta - Ta,95.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Marca Propia Envase 900 cc,Tienda Inglesa,97.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Devoto,119.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Devoto Express,123.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Disco,119.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Río de la Plata Envase 900 cc,El Dorado,119.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Frog,130.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Kinko,132.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Red Expres,115.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Red Market,115.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Ta - Ta,121.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Río de la Plata Envase 900 cc,Tienda Inglesa,126.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Uruguay Envase 900 cc,El Clon,85.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Uruguay Envase 900 cc,El Dorado,89.9,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Uruguay Envase 900 cc,Macro,91.49,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Uruguay Envase 900 cc,Micro Macro,98.8,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Uruguay Envase 900 cc,Red Expres,85.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Uruguay Envase 900 cc,Red Market,87.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Uruguay Envase 900 cc,Ta - Ta,94.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Uruguay Envase 900 cc,Tienda Inglesa,101.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Óptimo Envase 900 cc,Devoto,99.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Óptimo Envase 900 cc,Devoto Express,102.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Óptimo Envase 900 cc,Disco,99.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Óptimo Envase 900 cc,El Clon,95.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Óptimo Envase 900 cc,El Dorado,98.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Óptimo Envase 900 cc,Frog,123.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Óptimo Envase 900 cc,Kinko,99.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Óptimo Envase 900 cc,Macro,97.97,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Óptimo Envase 900 cc,Micro Macro,97.97,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Óptimo Envase 900 cc,Red Expres,105.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Óptimo Envase 900 cc,Red Market,100.5,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Óptimo Envase 900 cc,Ta - Ta,99.0,True
Abr25,Alimentos Y Bebidas,Aceite de girasol Óptimo Envase 900 cc,Tienda Inglesa,102.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Delicia Envase 900 cc,Devoto,129.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Delicia Envase 900 cc,Devoto Express,133.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Delicia Envase 900 cc,Disco,129.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Delicia Envase 900 cc,El Clon,105.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Delicia Envase 900 cc,El Dorado,129.9,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Delicia Envase 900 cc,Macro,115.54,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Delicia Envase 900 cc,Micro Macro,124.78,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Delicia Envase 900 cc,Red Expres,121.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Delicia Envase 900 cc,Red Market,105.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Delicia Envase 900 cc,Ta - Ta,129.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Delicia Envase 900 cc,Tienda Inglesa,140.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Devoto,139.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Devoto Express,143.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Disco,139.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Río de la Plata Envase 900 cc,El Dorado,139.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Frog,135.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Kinko,145.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Red Expres,140.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Red Market,139.5,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Ta - Ta,143.0,True
Abr25,Alimentos Y Bebidas,Aceite de maíz Río de la Plata Envase 900 cc,Tienda Inglesa,145.0,True
Abr25,Alimentos Y Bebidas,Aceite de soja Condesa Envase 900 cc,Devoto,75.0,True
Abr25,Alimentos Y Bebidas,Aceite de soja Condesa Envase 900 cc,Devoto Express,77.0,True
Abr25,Alimentos Y Bebidas,Aceite de soja Condesa Envase 900 cc,Disco,75.0,True
Abr25,Alimentos Y Bebidas,Aceite de soja Condesa Envase 900 cc,El Clon,68.0,True
Abr25,Alimentos Y Bebidas,Aceite de soja Condesa Envase 900 cc,El Dorado,69.0,True
Abr25,Alimentos Y Bebidas,Aceite de soja Condesa Envase 900 cc,Red Expres,65.0,True
Abr25,Alimentos Y Bebidas,Aceite de soja Condesa Envase 900 cc,Red Market,69.0,True
Abr25,Alimentos Y Bebidas,Aceite de soja Condesa Envase 900 cc,Ta - Ta,74.0,True
Abr25,Alimentos Y Bebidas,Aceite de soja Condesa Envase 900 cc,Tienda Inglesa,88.0,True
Abr25,Alimentos Y Bebidas,Aceite de soja Río de la Plata Envase 900 cc,Devoto,79.0,True
Abr25,Alimentos Y Bebidas,Aceite de soja Río de la Plata Envase 900 cc,Devoto Express,81.0,True
Abr25,Alimentos Y Bebidas,Aceite de soja Río de la Plata Envase 900 cc,Disco,79.0,True
Abr25,Alimentos Y Bebidas,Aceite de soja Río de la Plata Envase 900 cc,El Clon,68.0,True
